,filename,tinstability
0,1000.0,1000.0
1,nonresIC1.bin,2000.000263067024
2,nonresIC2.bin,5000000.0
3,1000.0,1000.0
4,nonresIC4.bin,5000.000201732172
5,1000.0,1000.0
6,nonresIC6.bin,2000.0002191566286
7,nonresIC7.bin,2000.0000982054546
8,nonresIC8.bin,2000.0002784658693
9,nonresIC9.bin,216000.00026378423
10,1000.0,1000.0
11,nonresIC11.bin,5000000.0
12,nonresIC12.bin,5000000.0
13,nonresIC13.bin,738000.0000278883
14,nonresIC14.bin,654000.000141083
15,nonresIC15.bin,2436000.0001041675
16,nonresIC16.bin,5000000.0
17,1000.0,1000.0
18,nonresIC18.bin,84000.00002898888
19,nonresIC19.bin,160000.00019452482
20,nonresIC20.bin,459000.00003165647
21,nonresIC21.bin,8000.000035431032
22,1000.0,1000.0
23,1000.0,1000.0
24,nonresIC24.bin,5000000.0
25,nonresIC25.bin,139000.0001213637
26,nonresIC26.bin,3000.0001141762655
27,nonresIC27.bin,79000.000062983
28,nonresIC28.bin,2270000.0002477067
29,1000.0,1000.0
30,nonresIC30.bin,5000.000251453405
31,nonresIC31.bin,5000000.0
32,nonresIC32.bin,5000000.0
33,1000.0,1000.0
34,nonresIC34.bin,1000.0001314630306
35,nonresIC35.bin,5000000.0
36,nonresIC36.bin,2000.0001745677798
37,nonresIC37.bin,5000000.0
38,nonresIC38.bin,5000000.0
39,nonresIC39.bin,5000000.0
40,nonresIC40.bin,991000.0001092132
41,nonresIC41.bin,5000000.0
42,nonresIC42.bin,5000000.0
43,nonresIC43.bin,1000.0001575651684
44,nonresIC44.bin,5000000.0
45,nonresIC45.bin,2000.0002388091143
46,nonresIC46.bin,5000000.0
47,nonresIC47.bin,5000000.0
48,nonresIC48.bin,6000.000105673044
49,nonresIC49.bin,5000000.0
50,nonresIC50.bin,3076000.0000888393
51,nonresIC51.bin,5000.000060579992
52,nonresIC52.bin,386000.00020854885
53,nonresIC53.bin,12000.000206616633
54,nonresIC54.bin,5000000.0
55,nonresIC55.bin,1015000.0000434136
56,nonresIC56.bin,5000000.0
57,nonresIC57.bin,1000.0000515256232
58,nonresIC58.bin,401000.0000486441
59,nonresIC59.bin,5000000.0
60,1000.0,1000.0
61,nonresIC61.bin,4000.0001599706206
62,nonresIC62.bin,5000000.0
63,nonresIC63.bin,3499000.0000674985
64,1000.0,1000.0
65,nonresIC65.bin,2000.0000756433592
66,nonresIC66.bin,3000.000211442302
67,nonresIC67.bin,4000.000172877471
68,1000.0,1000.0
69,1000.0,1000.0
70,1000.0,1000.0
71,nonresIC71.bin,58000.000112306705
72,1000.0,1000.0
73,1000.0,1000.0
74,nonresIC74.bin,3934000.0001358925
75,nonresIC75.bin,5000000.0
76,nonresIC76.bin,21000.00006226614
77,nonresIC77.bin,5000000.0
78,nonresIC78.bin,5000000.0
79,nonresIC79.bin,9000.000084791445
80,nonresIC80.bin,1000.0001422964784
81,nonresIC81.bin,3000.000141473265
82,nonresIC82.bin,1152000.0000448732
83,nonresIC83.bin,5000.000054847249
84,nonresIC84.bin,3109000.00005674
85,nonresIC85.bin,2303000.0002597617
86,nonresIC86.bin,6000.000158569296
87,nonresIC87.bin,2000.0000587182374
88,nonresIC88.bin,3366000.0001306366
89,nonresIC89.bin,2798000.000089194
90,nonresIC90.bin,1000.0000686401766
91,nonresIC91.bin,5000000.0
92,nonresIC92.bin,6000.00025718285
93,1000.0,1000.0
94,nonresIC94.bin,1000.0000336993173
95,nonresIC95.bin,5000000.0
96,nonresIC96.bin,262000.00022069845
97,nonresIC97.bin,5000000.0
98,1000.0,1000.0
99,nonresIC99.bin,5000000.0
100,nonresIC100.bin,1715000.0000882833
101,nonresIC101.bin,342000.0001618711
102,nonresIC102.bin,61000.00009858919
103,1000.0,1000.0
104,nonresIC104.bin,1324000.0002869081
105,1000.0,1000.0
106,nonresIC106.bin,1774000.0001728348
107,nonresIC107.bin,1002000.0000741989
108,nonresIC108.bin,1882000.0001103606
109,nonresIC109.bin,5000000.0
110,nonresIC110.bin,6000.000265855385
111,nonresIC111.bin,10000.000067194665
112,nonresIC112.bin,5000000.0
113,nonresIC113.bin,6000.0000600865105
114,nonresIC114.bin,1000.0000580385243
115,nonresIC115.bin,811000.00015106
116,nonresIC116.bin,4337000.000286447
117,nonresIC117.bin,5000000.0
118,nonresIC118.bin,9000.000040916579
119,nonresIC119.bin,3566000.0001929714
120,nonresIC120.bin,13000.000158895156
121,nonresIC121.bin,908000.0000986848
122,nonresIC122.bin,7000.000054065314
123,1000.0,1000.0
124,1000.0,1000.0
125,nonresIC125.bin,234000.00005220482
126,1000.0,1000.0
127,nonresIC127.bin,4110000.000174448
128,nonresIC128.bin,556000.0000982052
129,nonresIC129.bin,473000.00026228843
130,nonresIC130.bin,5000000.0
131,nonresIC131.bin,1000.0001127735122
132,nonresIC132.bin,603000.0002302909
133,nonresIC133.bin,5000000.0
134,nonresIC134.bin,5000000.0
