,K,mag,filename,tmax,tinstability,Eerr1,Eerrf,tinstability_index,e1b,erms1b,e1c,erms1c,e1d,erms1d,e1e,erms1e,e1f,erms1f,e1g,erms1g,e1h,erms1h,Pratio1bc,Pratiorms1bc,phi2body1bc,phi2bodylibamp1bc,Pratio1cd,Pratiorms1cd,phi2body1cd,phi2bodylibamp1cd,Pratio1de,Pratiorms1de,phi2body1de,phi2bodylibamp1de,Pratio1ef,Pratiorms1ef,phi2body1ef,phi2bodylibamp1ef,Pratio1fg,Pratiorms1fg,phi2body1fg,phi2bodylibamp1fg,Pratio1gh,Pratiorms1gh,phi2body1gh,phi2bodylibamp1gh,phi3body1bcd,phi3bodylibamp1bcd,phi3body1cde,phi3bodylibamp1cde,phi3body1def,phi3bodylibamp1def,phi3body1efg,phi3bodylibamp1efg,phi3body1fgh,phi3bodylibamp1fgh,efb,ermsfb,efc,ermsfc,efd,ermsfd,efe,ermsfe,eff,ermsff,efg,ermsfg,efh,ermsfh,Pratiofbc,Pratiormsfbc,phi2bodyfbc,phi2bodylibampfbc,Pratiofcd,Pratiormsfcd,phi2bodyfcd,phi2bodylibampfcd,Pratiofde,Pratiormsfde,phi2bodyfde,phi2bodylibampfde,Pratiofef,Pratiormsfef,phi2bodyfef,phi2bodylibampfef,Pratioffg,Pratiormsffg,phi2bodyffg,phi2bodylibampffg,Pratiofgh,Pratiormsfgh,phi2bodyfgh,phi2bodylibampfgh,phi3bodyfbcd,phi3bodylibampfbcd,phi3bodyfcde,phi3bodylibampfcde,phi3bodyfdef,phi3bodylibampfdef,phi3bodyfefg,phi3bodylibampfefg,phi3bodyffgh,phi3bodylibampffgh
154,103.62,0.07792051639448612,IC154K1.0362e+02mag7.7921e-02.bin,5000000.0,5000000.0,1.4152711578198494e-06,0.0004512519475224741,,0.004697502370989773,0.0033789782906200024,0.0046471282279992865,0.002936059830055009,0.04904297171745094,0.014263987115067966,0.027068797324012184,0.003963324299228964,0.05505443681120136,0.005313562294342956,0.012465479299672023,0.002974655399659057,0.022356643425194042,0.004824968227035068,1.6009447407440365,0.0007684065485618784,-7.245206689412,359.4168657399903,1.6676537127165971,0.0017786787811491821,175.77412059179866,344.8981816674305,1.5014659052384207,0.0016982917176024859,183.3193247234249,232.84655907481843,1.5019308130660651,0.0015110807503464858,170.30750820551467,75.03174824321205,1.3353090975007018,0.0014105552341310164,154.9110952800421,141.66592742553195,1.5042421988907535,0.0015390136268678873,180.27875165941902,136.40356124696996,29.443857420376137,358.9310197192714,141.58092368474763,354.16970599569333,236.82233858337486,299.62269738163013,-76.85513341487395,49.317339547657355,294.7147618886512,349.5530576855425,0.007258531197069665,0.003769638315948374,0.007127304032740087,0.0037115744752928823,0.04159390766050717,0.017123007748137586,0.02202426303546202,0.004973975508008354,0.0476856571761034,0.006748173442795514,0.010281924021420913,0.0037469052122588707,0.019846207997799716,0.007448595986418998,1.6010584914136152,0.0009994265782507154,2.4719576088834434,356.12515525643323,1.668052865879111,0.00300103668713471,184.39449048787165,354.56191461626173,1.5016915857713298,0.002731677755245247,179.7028514235108,337.0669433906119,1.50280089887541,0.0019631574810253273,167.50196624057594,107.70558912777476,1.3355993064469407,0.0018648015843891344,162.41668083068762,277.82418679998375,1.5053441798484415,0.0024094118566522,179.44600881138496,254.71257802816544,2.461009321003865,356.66381674203046,178.98241175241017,356.53738613596573,234.79153178602388,351.2542741641121,-77.82197484883253,69.70826386764398,207.3026022178816,357.7403132891169
159,378.17,0.0038830800172831204,IC159K3.7817e+02mag3.8831e-03.bin,5000000.0,5000000.0,1.09605895395987e-08,2.800889399130373e-07,,0.00033906353958317785,8.817646941432225e-05,0.0006079590496404043,0.00020584209386840564,0.14401305223932787,0.0011556929324198634,0.007282634827940347,0.00019946281486392123,0.017731540582368695,0.00027693324637132074,0.006949127958424217,0.00034666610453355285,0.004432043803927574,0.00011218472740081721,1.6002170713639017,0.0002264687603175605,-1.318362646769352,267.1331614209969,1.6668812345632924,0.0002991248243525667,178.32943680058926,9.482706807134717,1.5002229714513824,0.00027234011276660816,180.48336724160126,358.7283883743451,1.5042505854760777,0.0005120429851069604,-173.40649187146676,6.21754224599826,1.337130964821722,0.0005608111643712776,-158.27401256083638,14.92290687416039,1.50844938425608,0.0003204095371640402,183.81352007186126,9.632443721977268,-107.28125403139092,18.241116564606187,-59.73104763633251,5.8818751093826345,179.1238179871841,357.91632650191315,77.47659440578288,5.0472350254620295,37.39839229163441,2.4106854660822776,0.00035167700666256774,0.00013224877895790085,0.0006114102279867253,0.00021040661400112005,0.14392554141693492,0.0010704476216101366,0.00728292149554756,0.0002185911852764602,0.017731814069684312,0.00029041557234461943,0.0069513670660617645,0.0003635017154066741,0.004430237225164531,0.0001195400054030238,1.6002038266388872,0.0002547783141923511,-2.0360919344337014,312.8288221093242,1.666888345268981,0.00029485969176495176,178.32441803419746,9.339519376222626,1.5002222914957934,0.0002806190578781343,2.4388639601610502,359.43068445931385,1.504245974153958,0.0005145147071314033,-173.39721369612715,6.232364793706495,1.3371341829007732,0.0005642726954700586,-158.29665392131142,14.995706340701986,1.5084501672853021,0.00032152832289989103,183.83228755037769,10.273774611742255,-107.25572459070378,14.114397113632037,-59.73087257985642,4.8671606702693,179.31890313801537,357.25948963272896,77.46901250226813,5.277386446098831,37.3971397438828,2.6565803754853405
162,43.853,0.1850399672715453,IC162K4.3853e+01mag1.8504e-01.bin,5000000.0,5000000.0,5.105868768249986e-07,9.337442703630164e-08,,0.005497514093700182,0.002460306478332539,0.02160337878992671,0.0037148771867970797,0.10137350143961442,0.00437655544114671,0.06252150354211444,0.0052305890463785676,0.06268666478327907,0.004293693507719789,0.03111305250397505,0.0028117060380581428,0.028033099662535296,0.003906745844218473,1.6003978480229448,0.0005276975626366614,182.49572758718614,357.64305650269927,1.6668930901111056,0.0006676734212869763,179.24487798729112,30.244276372065002,1.5004293125727737,0.0006694905175907697,168.9891846695114,54.85764371470302,1.5005265653800888,0.0006727562514134033,191.07744047271458,52.78484076847522,1.333877527234671,0.0005976349521973602,176.42330892706715,41.47312049807846,1.5012660830044078,0.0006622087657274112,180.94309639212486,60.931726588489816,196.4817006806672,314.1801198018492,-56.314594347629814,31.46941723400425,136.0076831034475,67.48181144351969,80.2466792390705,29.359766677357754,181.4438584915207,23.56107268781875,0.00496994003735522,0.002549881761199377,0.021890834932801487,0.0033765725424051074,0.10083733431892906,0.003823275138553409,0.06271576038348928,0.004762181530854516,0.06279687904513577,0.003687415468996971,0.030977197615920125,0.0025604444603752824,0.028094500684508052,0.003741376688045773,1.600393753021901,0.0005376974839395419,179.1202743855249,348.6129840184264,1.6669767807863731,0.0005517151238024341,179.34497655293688,22.12684874089385,1.5003803353961822,0.0005907201930672904,168.94334370254123,50.8042850690845,1.500559284613797,0.0006664990037054283,191.32196465318717,43.66791306340758,1.3338676625774106,0.0005615025157849474,177.08895071216014,41.94536928267806,1.5011926116303715,0.0006181833201785498,181.68623218377437,47.84373511008977,197.5541583253148,334.5856567542617,-56.642685889960845,30.53949688170684,135.86280530633968,61.3589917522049,80.45956284032434,26.441992040288525,181.47925887991505,18.272027851527582
163,238.74,0.026440458577690288,IC163K2.3874e+02mag2.6440e-02.bin,5000000.0,5000000.0,6.439203509787896e-09,9.486851013228424e-09,,0.0003963921091086905,0.00018869850045760721,0.0011303243181661404,0.0006147405643171329,0.014451048057053259,0.0003481090195981897,0.02661464542785072,0.0004480779131249204,0.02643136215023431,0.0002662653373498188,0.015933616577443424,0.00021847893078426705,0.00845184647985026,0.00027995101949637507,1.6011151338134342,0.00039577913286066384,192.50301411806916,357.2137492775708,1.6683928135613766,0.0004060245441067904,171.87082820496101,39.14588899528086,1.5020338956134274,0.00037633196996912405,179.5273089897668,5.721788038888151,1.5030684160172667,0.0007774446259251869,-165.16963359238144,7.700115226729679,1.3361133750569552,0.0008709770079039943,183.36151735675372,7.48004286309407,1.5062719842915906,0.00044759779834035557,181.7864387162369,14.376610094153818,198.13098550988806,45.39228913532384,-56.114946102192505,14.967818839156052,146.1479019638706,5.96934187171516,77.64063737022204,3.9173246479209496,180.45633880469163,2.697228432601378,0.00037686232343421864,0.00017236056488392646,0.001257729170388771,0.0005973849031582213,0.01449132229925376,0.0003275669658657299,0.026615328960628955,0.00045107052352967613,0.026422649064944778,0.000278102350375283,0.015935708115566837,0.00021684891863476012,0.008457885922665788,0.00028530597929627414,1.6011219593212744,0.0004084511963029287,193.1090423856,356.9535348763928,1.6683977136852155,0.0004520276227692502,171.84703823043134,36.2573450326787,1.5020017350080497,0.0003941730484116231,179.50197927117807,6.069456648232574,1.503053432266413,0.0007383127388821193,-165.15023970355026,8.83055938234304,1.33618412277667,0.000831373545717951,183.4224846520719,7.8393412123425605,1.5062068244615494,0.00046357310208853354,181.6499348935192,13.81971220306761,198.13948067315255,41.66084952829061,-56.11879497015421,13.859565350055789,146.11910606058203,6.40551840004386,77.67004264187545,4.062814087268649,180.43398457487586,2.723500550658059
167,626.26,0.003128574466080432,IC167K6.2626e+02mag3.1286e-03.bin,5000000.0,5000000.0,9.937009283997258e-08,2.655320961051774e-08,,0.0005809712801025898,0.00010717468867506569,0.0009015559713086539,0.0004001459833504167,0.01623331657189245,0.00031904814196384037,0.014624611995960641,9.214105070352009e-05,0.014804973381811144,0.00011370964856516756,0.00902645858762297,9.101325828968863e-05,0.0012832657573125256,3.4052809929853476e-05,1.6016743328138212,0.00041370469063692686,106.0728476167527,161.48706896417582,1.669682301797326,0.00048148758625887733,177.33970365759694,10.2632645996091,1.5033369125406124,0.0005106429241167493,179.81200509345956,3.7400783388064265,1.5050865504112187,0.0005146311309560342,-173.1557255978796,4.3793804777241405,1.3378366666767605,0.0004951528571086611,-175.76403701894432,7.147067456052383,1.5100952542062278,0.0003413315953716885,183.5372982866674,17.87878945799048,-152.53748133332144,3.0987195797295044,-58.94509860995057,1.5097576157558024,165.0547882854742,1.8359820228587864,76.73081518882923,1.1396394712796791,-176.05328618777722,0.6198559881758571,0.0005781507312339141,0.000109737858191209,0.0009033535200275181,0.00039689663386420374,0.01623389145354991,0.00031906701264626,0.014623940536172301,9.230151379932462e-05,0.014808432102989912,0.00011463049715788786,0.009025227673365329,9.141832812216678e-05,0.001283809414551658,3.3612224427997876e-05,1.6016800822931543,0.0003967273711416548,106.73705543285365,170.31540165423937,1.6696799031182186,0.0004845803261414982,177.35516350493586,10.023670179768573,1.5033405039733794,0.0005125727664841869,179.8083532441941,3.9753297688272653,1.5050715111484132,0.0005253824799186679,-173.19067491557288,4.379601189217169,1.3378503185251445,0.0004959872934907732,-175.79726886553917,7.188492345532154,1.5100946893568294,0.00033827301384206106,183.34231068625908,18.051861964259842,-152.5349624743183,2.8177918595594065,-58.94211514184675,1.5337006824969421,165.04604661534427,1.814062543673316,76.73422142077196,1.0482099164314889,-176.05328918443882,0.6138143992097866
168,156.89,0.03652065753733735,IC168K1.5689e+02mag3.6521e-02.bin,5000000.0,5000000.0,7.704197029912133e-08,1.0922277264571638e-08,,0.002113792076356129,0.0014072929104348554,0.0022487679241388666,0.0012696068801838355,0.02513901904827857,0.002425262442040718,0.02190372278387974,0.001242047609342495,0.02863621618492661,0.0014975561000173465,0.011603049441576264,0.0011618001596448262,0.008078787395155029,0.0020220694652553226,1.6009258120415135,0.000400385700491661,161.22192221995553,358.0929673724597,1.6681091231061322,0.0005037500176908538,181.90573651630746,120.5009698350002,1.5016232200751796,0.0005330975213761883,180.05509814363342,36.1189553099677,1.50252362124643,0.0007069193032098531,191.74774243942392,28.57525871229339,1.3356060611502127,0.0007028972736490679,187.2347838426541,45.75632837728489,1.5050406157455392,0.0006765044106546452,181.55092296441373,107.90015988781605,156.42303566816096,358.3668920216685,179.34443445846452,46.880893227744025,141.72016258554487,50.67058628687812,76.92190691274472,21.213555567693266,180.4068291217596,30.909104863233523,0.002573493060617125,0.0013032448969665733,0.002570704616635181,0.0012827852619615658,0.02536996680977969,0.0027458721598572185,0.021856420660069476,0.0014580224049813495,0.028563863020087735,0.001601004435496435,0.01172536494715299,0.0014167663975923452,0.008209139826366823,0.002353013001435879,1.6009174496257381,0.00044122215824611463,4.752903006999969,358.81672419267466,1.668110646826301,0.0005817201140624152,178.80086671335047,115.89893684867427,1.5016450369503351,0.0005792958974777899,179.29274148726554,36.53572028209507,1.5024597196292075,0.0006407946561634471,191.66473238987007,31.350581899984775,1.3356537389139314,0.0006347834719772365,187.16631543167074,45.93633087784633,1.5050075518049404,0.0007522876252897453,181.4126912206989,130.05981105945617,-5.205738090644235,358.5054217140614,180.01044414329482,46.88167957957205,142.3095218878392,52.834289491130406,76.73524866705132,20.958235290570016,180.416550437725,30.892555665683545
174,83.191,0.4885920893791154,IC174K8.3191e+01mag4.8859e-01.bin,5000000.0,5000000.0,1.183998531177614e-07,0.000537379034078395,,0.008460616884120612,0.004401365110188729,0.0075209955268990825,0.0037505263185270174,0.03833291226171158,0.010107212675132541,0.041964726901322684,0.005402192724753461,0.03911804743653399,0.0043450456751871645,0.02454849631742073,0.004555691254187518,0.0148583193400743,0.0066146428104599565,1.6005368393378243,0.0007381140874044299,1.3491046454757205,357.6087595196668,1.6674982067564943,0.00095544121441109,180.4975003810006,335.7167840688008,1.5007844759947233,0.001055151761320105,181.71536670734426,90.40807620762216,1.501312440389696,0.00105790860668039,166.5852265105996,83.4578277601911,1.33448667352674,0.001029856480191309,177.21034502571754,64.83370938435482,1.502653072859328,0.001780019483695927,177.45042520254475,350.34458385133377,-0.02494782413501264,357.76766805791567,174.9106394722807,327.25834714204416,209.63095613721288,110.55108883561093,-76.72909142270082,44.94818657699426,178.4644373500974,51.19607829506703,0.015590665340001935,0.008070920296240588,0.012082670404821513,0.006037481110697517,0.0267617288898015,0.013370609843736654,0.03079599992535621,0.010491720076507215,0.02711729247949637,0.009009368668396458,0.018492816124859337,0.008058830485535814,0.020658723741470687,0.010556910691597332,1.600952608119162,0.0013930669328340824,187.72162815893452,358.76618691671354,1.667900518778451,0.0023259942332535216,175.86603550062438,357.1043861352778,1.5012767448110254,0.0025274831012002453,180.19795029434943,303.96588324070063,1.5021093525133042,0.0023518691819473287,180.32745889679282,287.23848550073785,1.3352282163413305,0.0022368246835206195,181.5438498101565,335.0355728041366,1.5042030854438726,0.004046256304048515,182.60651245621307,359.29163118685517,-4.609191026505113,359.512649910597,4.36627157795025,357.2956266330993,180.28006456813335,346.97467838928804,4.8359486911239875,275.43285568913905,181.89932858947932,354.28095046163014
178,111.99,0.0013034068657734547,IC178K1.1199e+02mag1.3034e-03.bin,5000000.0,5000000.0,6.492619246014851e-08,2.1839199745455761e-07,,0.0006759006647118381,0.00029387265442017444,0.005378171231106476,0.0006146114553564532,0.03521869679091478,0.0002899881039068708,0.03618284710593673,9.518646944087896e-05,0.03677888313505498,0.00022572572924541362,0.014594206430817776,7.002656859700459e-05,0.013003377518069424,9.560108648025676e-05,1.6007030323414226,0.0004877223778504667,132.51608704409628,54.76840995284833,1.6676836075766706,0.0004931685445845824,177.80742269149312,4.1659021526563995,1.5010906949411982,0.00038455343109597553,179.0749804441409,1.2028823042648469,1.5016739053862074,0.0005324776265478482,-165.73014582508483,2.917041384982156,1.3348881101164976,0.000556813566432117,-159.0610306676781,3.9972349397305886,1.5034445373049934,0.0003439081404891808,-177.33813666534394,4.6747757667183985,-158.05866184526238,7.799730558661963,-58.56848646514648,0.6227062965190271,141.0579555961014,1.4448195112222777,69.02904160897562,0.9963942789957372,42.50389407697906,1.0666285999083058,0.0006778530112071366,0.00029138197854986663,0.005392339007348781,0.000613788052636819,0.03523569184727467,0.00029110251775168767,0.03618562348631677,9.546905340515828e-05,0.036787158097365234,0.00022422867761389274,0.014592202055176976,6.930122648742654e-05,0.012997842380638214,9.553072202128899e-05,1.6007015009115908,0.0004902395403283867,132.62874148404575,53.570561007644656,1.6676905969251508,0.0004886814927359045,177.80461302394647,4.306029443099106,1.501083095693618,0.00038244418959236217,179.06777548690837,1.398169555232414,1.5016746028120902,0.0005270010677630366,-165.74463089367094,2.800586823460975,1.3348934217751975,0.0005520875196825118,-159.09161262108677,4.129202534155951,1.503439689869311,0.0003384278444865129,-177.3386278026899,4.605729970377382,-158.03148990491218,6.837149230666029,-58.573432137277116,0.5885185731307843,141.06342235114798,1.4275692631058519,69.02761985831145,1.1168458872230502,42.50539418079951,1.0733455596252668
179,795.99,0.00744015596759741,IC179K7.9599e+02mag7.4402e-03.bin,5000000.0,5000000.0,5.133310884170132e-07,5.46796641459936e-07,,0.0008890659420070601,0.0001685816644104261,0.0008239617193881954,0.000405523172891627,0.010814073026749856,0.00047557959015108654,0.01719615928365021,0.00011397537999061426,0.019008711880448573,0.00018654657862312432,0.00712127476736206,6.595199063642695e-05,0.006635549108407862,0.00013389201970351254,1.6016061735691114,0.0006489170429471992,1.6513701974690498,356.21646613187994,1.6693401732633557,0.0005496814006914875,171.14317713481162,17.876872128586115,1.5028424870735828,0.00043382895202810135,179.4639646015745,3.5252696292388923,1.5043101786985458,0.0007284956611550909,-161.5233273355075,8.212542585495811,1.3373488809227807,0.0007265941528000548,-173.5031976673149,7.346915886298206,1.508944665775214,0.0003878769680650254,180.6974933618838,10.758983494938235,-161.8309295879611,13.433773516991124,-55.3021608961954,3.8098283172525953,133.60766172142445,3.9410240485024417,75.98957493396912,2.1583283565704363,179.2459669826572,2.18657517085731,0.0008920799812362423,0.00017123801751848055,0.0008141222057256003,0.0003865080699043017,0.010770347900025363,0.00047571325578216314,0.01721514829482108,0.00011159647155846993,0.019031890949762265,0.00018995350895924303,0.007118907279295955,7.15586020505659e-05,0.006630417918271735,0.00012664168709950968,1.60161117667283,0.0006491064800866479,-1.016561148910256,358.0854640214237,1.669333557603828,0.0005415029387376657,170.94985574935788,19.91003365901321,1.502844536741298,0.0004241149230635111,179.5091201083679,3.563600107525758,1.5043171380818199,0.0007364104419860187,-161.5050135158841,7.765166756081214,1.3373442191352747,0.0007340719480053871,-173.47202340660402,7.53311553864782,1.5089442366299295,0.00038613388041145477,180.6943544848378,10.645842560882556,-161.89146526850323,13.326077094850831,-55.2853993780516,3.4755702834287376,133.6299344337829,4.536818484899442,75.98444963274576,2.268474320587231,179.2416095730664,2.24487907433749
188,105.67,0.23392138385806546,IC188K1.0567e+02mag2.3392e-01.bin,5000000.0,5000000.0,7.992661429676724e-07,0.0003855094207692156,,0.006611244871106273,0.003368539228197323,0.007643605742451669,0.003942544377852872,0.022320891116387374,0.006926746167366918,0.03317734435418152,0.004418131995333468,0.0401166089042156,0.004177076677167628,0.015239718699354627,0.002774001322448463,0.016960017810140084,0.004827092082503073,1.6007162644662778,0.0006966449636467069,176.91805049949528,358.4387825520329,1.6677523658083357,0.0010065670578278687,174.00040651956894,357.02188448436095,1.5011997368645469,0.0010138082153098363,179.6602478187275,81.75468971870416,1.5018100828473324,0.0012480190173992502,195.0052342952126,82.02486932860377,1.3351097125992224,0.0010898740791517507,183.71822187538345,71.50014490172163,1.5038549750963113,0.0013219346374385578,183.19135746452218,140.34175852575862,170.6175188024771,358.14624349365715,186.0052286551757,358.58737342344114,129.46903510444997,117.9649749659962,77.46000696106596,45.90053977432423,179.9785703047903,46.098341059998496,0.010057450574017272,0.004992754047316835,0.012303947229346942,0.0060859474261752275,0.01988317691657681,0.009625242491044655,0.026687233421451885,0.007103919410871059,0.03267209419332943,0.007133396746455066,0.012095685218874162,0.004445006579643505,0.016534489395982236,0.007041609023103411,1.600897025568221,0.0012017260984472824,185.1266455360825,359.0384157463997,1.6679956221455883,0.0017945230420841553,3.750139627766987,358.97274706060205,1.5016531788275256,0.0017295166671511058,180.17649241905852,245.74779081491056,1.5023537458030898,0.0019881881558755977,180.7330569571229,213.18460874851348,1.3356584001112606,0.0017217362894892025,181.19641594604786,247.71204829049066,1.5050243558976821,0.002353264338480988,180.79658523676858,325.7859256286359,-3.391389992769218,359.52424111257585,-1.5122251944568619,358.62597871539066,174.21136188315572,335.0402568734767,8.416644326292491,242.23318059358144,181.782781913277,359.0518598830577
