,K,mag,filename,phi_bcd,phi_cde,phi_def,phi_efg,phi_fgh
243,26.018,0.22181,IC243K2.6018e+01mag2.2181e-01.bin,150.21647144134153,55.2713950592225,96.9847451767835,81.9444577650242,312.3216245752063
245,651.19,0.0021757,IC245K6.5119e+02mag2.1757e-03.bin,192.44516003791546,301.7078503102809,145.63422033233235,73.78064711069945,180.7756524317771
247,53.996,0.52799,IC247K5.3996e+01mag5.2799e-01.bin,205.10064426147537,301.28149901115194,244.92384932203933,278.31279144165916,315.63350686968244
248,242.09,0.028517,IC248K2.4209e+02mag2.8517e-02.bin,204.06630320227274,301.5857672173315,147.8343771278577,81.37167047877914,318.9201028667178
251,188.46,0.0020373,IC251K1.8846e+02mag2.0373e-03.bin,307.0969368672727,54.50186747997003,227.75135082767002,284.17348987935526,181.21055814919384
255,84.698,0.0046677,IC255K8.4698e+01mag4.6677e-03.bin,54.97567661157298,69.388651982815,358.53298298125856,69.29829132137836,349.79112781263575
257,723.86,0.26301,IC257K7.2386e+02mag2.6301e-01.bin,236.0681996719542,297.5097920016374,175.07892555384205,70.60189814584096,30.983932993256573
259,240.13,0.002007,IC259K2.4013e+02mag2.0070e-03.bin,190.66314428950574,305.72809996230916,141.32994895656765,75.22942574244212,180.5564933283339
261,399.83,0.02867,IC261K3.9983e+02mag2.8670e-02.bin,124.75176678419047,60.826727431744715,99.510714266549,81.54050384119981,176.08316922479443
270,244.48,0.26625,IC270K2.4448e+02mag2.6625e-01.bin,197.18040351332968,300.40979070728986,143.80407335215804,76.60216311281366,179.6490637922284
272,31.293,0.43223,IC272K3.1293e+01mag4.3223e-01.bin,339.1210463347165,174.15180058393764,261.95888279234913,272.42708465510344,316.06486801291874
282,54.557,0.014968,IC282K5.4557e+01mag1.4968e-02.bin,334.15866312082187,300.59197382007903,239.17939593650087,285.0898459587713,183.1082863375316
283,156.61,0.0095471,IC283K1.5661e+02mag9.5471e-03.bin,152.7581506203052,58.57361842602658,127.72584429434085,75.02719425437742,44.66895286789404
288,127.8,0.13967,IC288K1.2780e+02mag1.3967e-01.bin,140.46697864483474,53.347652121650334,152.49751585675762,72.3259052771191,41.698617838007465
289,284.62,0.037219,IC289K2.8462e+02mag3.7219e-02.bin,215.9470809936998,300.1770067257224,164.97815185539298,69.9182289870433,33.7454050459292
290,35.223,0.0061289,IC290K3.5223e+01mag6.1289e-03.bin,42.81641724443442,311.1623771089785,181.7630317286051,96.81864503011136,183.007369280118
293,428.03,0.11723,IC293K4.2803e+02mag1.1723e-01.bin,203.5221988629617,302.55369222340386,140.71393898460508,71.23608659130618,42.4025152760923
294,216.8,0.0025643,IC294K2.1680e+02mag2.5643e-03.bin,170.8095785153541,337.45818153423437,158.59275026778337,294.7402936759053,174.07415224315014
295,175.51,0.009879,IC295K1.7551e+02mag9.8790e-03.bin,161.4009979093969,59.021575860096675,208.94178575646345,282.50981923737623,178.40732008298647
301,47.267,0.060358,IC301K4.7267e+01mag6.0358e-02.bin,154.06071300861836,74.00119351385223,163.3173160002826,292.585227869832,323.35507440634683
308,370.62,0.11657,IC308K3.7062e+02mag1.1657e-01.bin,257.7237169560953,56.105253913182494,198.1779455674172,286.9954239419172,328.16667597885265
310,433.55,0.10132,IC310K4.3355e+02mag1.0132e-01.bin,211.89727771941727,303.08141780156114,151.730537322641,73.7652415021777,41.274756629544925
311,81.111,0.020821,IC311K8.1111e+01mag2.0821e-02.bin,271.2724129653162,58.25497266354208,226.09309768503797,284.39889505910236,180.7434427683852
314,681.94,0.058294,IC314K6.8194e+02mag5.8294e-02.bin,205.23542302744252,301.6689448543861,269.61078506845274,282.32412557109507,301.4591619710098
316,458.29,0.17234,IC316K4.5829e+02mag1.7234e-01.bin,231.47770481985413,306.9645664522519,336.8188525154727,79.3070310271661,29.33801735347095
317,40.616,0.15098,IC317K4.0616e+01mag1.5098e-01.bin,145.43364491168927,32.76252114249823,0.981866902241116,231.02288735242334,193.2885325312624
318,149.09,0.010484,IC318K1.4909e+02mag1.0484e-02.bin,205.58029188733406,301.4489212824233,134.18408186686077,69.0908587211894,42.187276625688526
320,268.35,0.00586,IC320K2.6835e+02mag5.8600e-03.bin,131.70768245010757,80.0941742148042,221.41522014628995,300.3705903811718,69.84618579456483
328,30.563,0.0058396,IC328K3.0563e+01mag5.8396e-03.bin,27.56196977761024,169.8040972516228,248.27757689591166,277.2108140920056,321.4875222598487
332,686.04,0.19507,IC332K6.8604e+02mag1.9507e-01.bin,142.24150897330617,53.51639344126129,109.90874811013357,79.9461542026409,170.52709482360837
337,397.94,0.0028887,IC337K3.9794e+02mag2.8887e-03.bin,149.00909920752756,56.94756155536095,234.4059594679188,283.23310345213474,182.1161239757642
345,55.189,0.098776,IC345K5.5189e+01mag9.8776e-02.bin,186.32459820332053,316.25267335275487,214.71039017382603,248.65041823890292,331.33363619268596
347,34.113,0.0072953,IC347K3.4113e+01mag7.2953e-03.bin,213.38511931975552,118.15064941674775,327.9220135882146,105.90981716125223,321.6427186997217
350,73.158,0.14085,IC350K7.3158e+01mag1.4085e-01.bin,151.95723783567874,55.886751552915705,151.1678530749678,68.38349013505065,183.48938820049358
352,557.02,0.048424,IC352K5.5702e+02mag4.8424e-02.bin,140.21088772564008,58.912109293474074,211.29741418855193,280.2134569641367,180.1324597915832
357,279.59,0.0063966,IC357K2.7959e+02mag6.3966e-03.bin,173.062223529212,176.92946821232894,138.33951567704156,74.15340359928669,46.80009095045258
358,267.44,0.0037027,IC358K2.6744e+02mag3.7027e-03.bin,207.20306927842722,301.71590420940197,220.679349792599,284.8824298061468,317.67602171005757
359,572.65,0.12591,IC359K5.7265e+02mag1.2591e-01.bin,127.26203420242899,59.37554159148019,142.4976719360025,78.27402351537471,179.12072259033675
360,98.982,0.66769,IC360K9.8982e+01mag6.6769e-01.bin,241.26396984870976,55.97583265358952,241.89066893350835,274.33429608261076,317.05958844137615
363,16.249,0.135,IC363K1.6249e+01mag1.3500e-01.bin,246.9644798490568,175.93785953725742,142.4277988004115,71.26212635895878,44.32598562938187
364,70.872,0.001982,IC364K7.0872e+01mag1.9820e-03.bin,203.48865985088148,300.6030389540939,213.47275102347993,291.0137238687398,318.92002369086305
365,763.68,0.084102,IC365K7.6368e+02mag8.4102e-02.bin,200.93850850942158,303.1805462406438,200.40299639117555,280.49891783533076,178.63449291072925
369,199.53,0.010724,IC369K1.9953e+02mag1.0724e-02.bin,211.50860678116962,301.1356170580367,143.73164639625142,74.15648652867807,41.788372374737506
371,219.54,0.05225,IC371K2.1954e+02mag5.2250e-02.bin,154.98375804258185,58.28709309993839,195.34914505719433,290.7315484934629,322.8628162283911
373,244.72,0.056204,IC373K2.4472e+02mag5.6204e-02.bin,228.3539040613991,300.8274655903197,143.4740359747088,78.57303161795409,180.08061423484924
376,64.32,0.24569,IC376K6.4320e+01mag2.4569e-01.bin,176.4801393425668,329.0248208683024,134.21607949622526,72.16945116418948,179.22751679581543
377,17.257,0.036547,IC377K1.7257e+01mag3.6547e-02.bin,113.58166496348052,313.8649710128903,214.78533834656082,285.7361670855272,175.3528832801479
379,405.58,0.0030656,IC379K4.0558e+02mag3.0656e-03.bin,199.23414289672064,302.6227726769093,221.85440827032397,286.2175713624808,315.10224226271504
382,322.08,0.0096895,IC382K3.2208e+02mag9.6895e-03.bin,184.39662929690678,189.7380190411267,123.00541925076172,124.02779626222967,3.375078691007841
383,75.828,0.0041082,IC383K7.5828e+01mag4.1082e-03.bin,231.3540862576831,303.94451539378014,221.14724942399403,284.52599060716506,179.8071963939467
384,372.56,0.0071496,IC384K3.7256e+02mag7.1496e-03.bin,158.26374591457267,57.840044855797075,225.76772341276612,287.83365033560244,315.1922358042046
386,299.51,0.021013,IC386K2.9951e+02mag2.1013e-02.bin,178.33699890291277,179.8348198456234,138.4522121541549,71.75822038194997,180.22650066337877
387,152.74,0.0042054,IC387K1.5274e+02mag4.2054e-03.bin,155.77895035960557,194.99907123295958,222.78756310733053,278.72956123098925,318.28627828906576
388,46.782,0.032538,IC388K4.6782e+01mag3.2538e-02.bin,173.17695110782435,295.3167572493847,203.8569338956974,73.65385682371395,173.55852493433318
392,53.712,0.59413,IC392K5.3712e+01mag5.9413e-01.bin,213.8797658367162,292.24017639289906,140.65344092900392,75.26105085025257,49.0686970984038
400,217.5,0.0047643,IC400K2.1750e+02mag4.7643e-03.bin,219.67160887434534,301.87048314139736,152.62933931692032,77.00739082410243,43.04667965832122
401,287.35,0.010355,IC401K2.8735e+02mag1.0355e-02.bin,157.56630830776916,57.113053763799265,220.73852116639114,286.46810579396094,314.4810990661155
406,686.17,0.042504,IC406K6.8617e+02mag4.2504e-02.bin,322.5018771136622,112.14681001609111,217.6665004706115,282.0942218735842,316.89935996818076
407,506.69,0.032461,IC407K5.0669e+02mag3.2461e-02.bin,156.7318885762921,54.4174202351666,229.8729551510332,279.58122454548965,48.61855636348622
411,490.59,0.071877,IC411K4.9059e+02mag7.1877e-02.bin,201.60139516402504,303.3226246596189,148.02790323187412,77.96278934961059,180.36020455260112
412,776.13,0.44028,IC412K7.7613e+02mag4.4028e-01.bin,211.33189891302789,297.0291593653681,159.82498295631527,72.1500607386607,38.49601010987916
413,205.86,0.014293,IC413K2.0586e+02mag1.4293e-02.bin,215.58164950252166,302.6818022468915,166.83966842454177,77.49242471150946,185.83035069950455
420,42.785,0.022861,IC420K4.2785e+01mag2.2861e-02.bin,212.5859320041487,296.7373471852423,204.39184904017384,288.04650803045547,173.65192249661044
421,232.04,0.257,IC421K2.3204e+02mag2.5700e-01.bin,149.11206579371097,76.57784200194114,61.14945260458104,110.43620867876244,32.073168064347044
423,47.237,0.036766,IC423K4.7237e+01mag3.6766e-02.bin,171.07926477191756,47.64066698224966,238.91224378705536,290.20161943752856,311.9186967128364
425,328.18,0.0064291,IC425K3.2818e+02mag6.4291e-03.bin,201.6333512899205,299.7262581372417,208.06063168724455,282.6157126905744,41.219259893958025
429,53.242,0.010092,IC429K5.3242e+01mag1.0092e-02.bin,131.06297810958574,57.265744439695574,216.8601701937106,280.600228961503,179.9608023666902
433,90.431,0.001718,IC433K9.0431e+01mag1.7180e-03.bin,162.293454038817,57.19771886121328,225.59855126986312,288.4646222287922,178.497033711842
434,50.931,0.0087173,IC434K5.0931e+01mag8.7173e-03.bin,198.95583266498966,170.3467612765975,230.6276185024637,288.34036987096806,315.4546578768106
435,735.23,0.24115,IC435K7.3523e+02mag2.4115e-01.bin,160.5705947309447,58.660545907302335,208.02984810082924,287.89028734740833,178.94030149167745
437,119.24,0.016084,IC437K1.1924e+02mag1.6084e-02.bin,173.66529198368943,179.89951852588672,140.31798750719165,67.78031579552268,44.31504658363758
439,151.26,0.33525,IC439K1.5126e+02mag3.3525e-01.bin,176.97377754818257,54.9354331834403,155.7829648055831,64.48750436213655,45.54588174280326
441,875.54,0.015448,IC441K8.7554e+02mag1.5448e-02.bin,172.3811705512656,50.044642885581155,206.24378622842863,284.73860365806684,115.3827878036652
442,61.568,0.0039321,IC442K6.1568e+01mag3.9321e-03.bin,220.93147656377369,301.71152529034833,129.0245977965641,88.08040205883428,175.93248187930644
443,252.42,0.60269,IC443K2.5242e+02mag6.0269e-01.bin,162.791428854146,62.330446012616044,158.494801489279,67.27419726894335,40.02865633354139
445,193.43,0.0015738,IC445K1.9343e+02mag1.5738e-03.bin,180.47809816081607,179.63108123453904,223.9231483101126,284.0093135552477,179.83063576733252
446,341.05,0.017467,IC446K3.4105e+02mag1.7467e-02.bin,165.45848152969606,57.553297810976176,215.6726917732511,285.3508044116639,179.87126065462286
447,42.374,0.018054,IC447K4.2374e+01mag1.8054e-02.bin,140.23927742998544,58.62511556263276,135.53217984348856,75.70854037516261,39.768500033735755
449,131.0,0.040728,IC449K1.3100e+02mag4.0728e-02.bin,128.40293744166092,57.93615073780714,223.48779604089648,285.04646513762395,175.2734086791581
450,363.78,0.078837,IC450K3.6378e+02mag7.8837e-02.bin,189.18178902257517,302.777894820627,212.64179617991343,283.9350607263152,47.924697034103886
451,351.54,0.097588,IC451K3.5154e+02mag9.7588e-02.bin,164.0460481897016,58.13342427039157,125.1614567576971,74.83376719294571,178.45416179744447
452,592.73,0.019069,IC452K5.9273e+02mag1.9069e-02.bin,227.25914190079666,184.56858898810768,221.06205037594393,281.5616325600382,277.1087105431048
453,630.99,0.037327,IC453K6.3099e+02mag3.7327e-02.bin,187.921292082656,274.92186798107326,239.5817747825227,337.8250193110726,308.12633357655807
454,217.47,0.15771,IC454K2.1747e+02mag1.5771e-01.bin,166.7566073031396,57.432337452769715,200.6148004926143,289.4276742770181,316.4268911005213
455,66.752,0.011785,IC455K6.6752e+01mag1.1785e-02.bin,138.51556923368162,58.087621361170385,134.59702932462147,76.0517549166863,40.82496756249787
458,409.2,0.90172,IC458K4.0920e+02mag9.0172e-01.bin,210.02423131189929,294.3150564814623,212.34790835506342,288.2636613782025,323.2641104803744
460,565.99,0.17851,IC460K5.6599e+02mag1.7851e-01.bin,194.47163789274325,307.7595415908147,241.7195940597743,279.96899754845305,49.71242609339634
462,84.346,0.6748,IC462K8.4346e+01mag6.7480e-01.bin,180.99412625837104,182.88570448549032,136.10373328476473,66.12846016219652,51.22812021287139
463,414.58,0.32863,IC463K4.1458e+02mag3.2863e-01.bin,221.95437849251815,301.901838549491,137.61856846207107,73.09316979812165,43.52991194044358
467,320.44,0.56785,IC467K3.2044e+02mag5.6785e-01.bin,202.9709937018851,309.00058644690176,115.9234486135862,77.6505634318088,180.41076345413154
469,241.16,0.001803,IC469K2.4116e+02mag1.8030e-03.bin,213.43501066853113,301.4695490783777,250.53780034037302,275.87766144029024,184.48058405863304
471,148.81,0.0096689,IC471K1.4881e+02mag9.6689e-03.bin,197.46813712324087,305.1977994068803,238.07206916904968,289.3917911284672,179.63276106265874
472,192.61,0.27648,IC472K1.9261e+02mag2.7648e-01.bin,213.1633269199865,302.57957769777414,191.62943220179866,287.6847871499426,174.21175669418133
473,12.403,0.047709,IC473K1.2403e+01mag4.7709e-02.bin,253.6026415875984,158.18962533593395,241.49884113822273,281.3968100838817,192.96314318412547
476,236.05,0.010931,IC476K2.3605e+02mag1.0931e-02.bin,180.48832267711705,178.83420713214608,154.46590467383638,67.09799110447956,44.96416903909418
480,408.05,0.0026659,IC480K4.0805e+02mag2.6659e-03.bin,220.84147004296813,300.19216236137305,192.68811827565546,296.93895413699585,326.5404821265516
482,539.72,0.74029,IC482K5.3972e+02mag7.4029e-01.bin,185.4863621098849,313.61428583587093,130.21721704968922,72.19604612425738,181.78902066869756
485,506.41,0.0032837,IC485K5.0641e+02mag3.2837e-03.bin,166.2871246295711,58.82266317014245,156.28878525940354,74.82010304079547,182.03835502728083
486,128.7,0.0010446,IC486K1.2870e+02mag1.0446e-03.bin,158.86823774138878,58.428116702121095,129.96237976348155,75.5598418510716,179.40443882261107
488,85.227,0.040533,IC488K8.5227e+01mag4.0533e-02.bin,48.180300504621435,186.48060709025202,127.14918003816919,67.09102412567896,180.99104109156562
490,162.64,0.0027754,IC490K1.6264e+02mag2.7754e-03.bin,221.5265317843065,300.436510925198,159.03847958979475,73.92596115435575,40.40443174616131
492,80.387,0.087565,IC492K8.0387e+01mag8.7565e-02.bin,179.2125783505722,302.4363041599284,221.17973074148927,288.259992318128,313.3820779925907
