,K,mag,filename,tmax,tinstability,Eerr1,Eerrf,tinstability_index,e1b,erms1b,e1c,erms1c,e1d,erms1d,e1e,erms1e,e1f,erms1f,e1g,erms1g,e1h,erms1h,Pratio1bc,Pratiorms1bc,phi2body1bc,phi2bodylibamp1bc,Pratio1cd,Pratiorms1cd,phi2body1cd,phi2bodylibamp1cd,Pratio1de,Pratiorms1de,phi2body1de,phi2bodylibamp1de,Pratio1ef,Pratiorms1ef,phi2body1ef,phi2bodylibamp1ef,Pratio1fg,Pratiorms1fg,phi2body1fg,phi2bodylibamp1fg,Pratio1gh,Pratiorms1gh,phi2body1gh,phi2bodylibamp1gh,phi3body1bcd,phi3bodylibamp1bcd,phi3body1cde,phi3bodylibamp1cde,phi3body1def,phi3bodylibamp1def,phi3body1efg,phi3bodylibamp1efg,phi3body1fgh,phi3bodylibamp1fgh,efb,ermsfb,efc,ermsfc,efd,ermsfd,efe,ermsfe,eff,ermsff,efg,ermsfg,efh,ermsfh,Pratiofbc,Pratiormsfbc,phi2bodyfbc,phi2bodylibampfbc,Pratiofcd,Pratiormsfcd,phi2bodyfcd,phi2bodylibampfcd,Pratiofde,Pratiormsfde,phi2bodyfde,phi2bodylibampfde,Pratiofef,Pratiormsfef,phi2bodyfef,phi2bodylibampfef,Pratioffg,Pratiormsffg,phi2bodyffg,phi2bodylibampffg,Pratiofgh,Pratiormsfgh,phi2bodyfgh,phi2bodylibampfgh,phi3bodyfbcd,phi3bodylibampfbcd,phi3bodyfcde,phi3bodylibampfcde,phi3bodyfdef,phi3bodylibampfdef,phi3bodyfefg,phi3bodylibampfefg,phi3bodyffgh,phi3bodylibampffgh,max3MMRlibampf,max3MMRlibamp1,max1storder3MMRlibampf,max1storder3MMRlibamp1,maxerms1,maxermsf,max2MMRlibampf,max2MMRlibamp1,max1storder2MMRlibampf,max1storder2MMRlibamp1,fracermsfb,fracermsfc,fracermsfd,fracermsfe,fracermsff,fracermsfg,fracermsfh,maxef,maxfracermsf
0,125.21,0.13982,IC0K1.2521e+02mag1.3982e-01.bin,50000000.0,50000000.0,5.822355860838379e-08,4.967208133845477e-07,,0.002366863329482182,0.0012425481241036048,0.004477994742290786,0.002007605712742209,0.02631016066853289,0.0022369588495027557,0.0319829760729862,0.001841164974175303,0.024503133887990695,0.002020743004428303,0.014719924668844442,0.0023102857340261624,0.005359154546067395,0.002459484186974831,1.6007769544897934,0.0004807032451355693,168.38977223092834,357.31384592478355,1.6677375058153407,0.0005419479712559582,180.46748067270732,103.75132783616274,1.501280229178842,0.0004886206442913866,179.48209599375494,31.01963224939348,1.5018915650915576,0.0005643823344225797,191.3050000459971,35.50761442143684,1.3350675164267463,0.0006102862094107995,182.08197507211682,55.279920264255566,1.5038376948179324,0.0008255147071743738,184.6072145809402,356.33423080878083,180.63569200490213,350.8674244559151,179.62887341362713,43.09528613099735,158.0937616046363,39.700886550425025,72.30172760613455,39.57965507414465,183.9020157923404,41.45879151079555,0.0031589269070945087,0.0015392511591395342,0.0050622162913926,0.0025054770338134016,0.0263524404257254,0.0028597119365755498,0.03211587651261752,0.002194156347995959,0.02489890442284841,0.002490331529470712,0.014482092320291405,0.0028397780169808094,0.006078371828036378,0.002958189434576953,1.6006991724887112,0.0005295458291744176,-0.34055409140404763,356.9367080070273,1.6677993789367167,0.0005793488021028995,180.53191086159572,142.3465565477677,1.5012326471294073,0.0005937430635931723,179.59110411964159,36.84620704033941,1.5019325443224854,0.0006516248426195027,191.7204017165834,43.73224436528656,1.3350995863627368,0.0006854242275171964,181.95305399086848,82.57292582329694,1.5037274541244767,0.001005042587303708,185.8629497040172,355.6653280457993,180.38274359259233,355.6178725087427,179.6100423866367,56.24636847856539,158.05217318580898,49.769303134623016,72.37374948697345,35.045178497144846,184.84222572250914,51.28801147489585,355.6178725087427,350.8674244559151,51.28801147489585,41.45879151079555,0.002459484186974831,0.002958189434576953,356.9367080070273,357.31384592478355,355.6653280457993,356.33423080878083,0.48727026753375996,0.4949367805705024,0.10851791676128344,0.06831998955824638,0.10001771512426333,0.19608893205313224,0.4866746422014459,0.03211587651261752,0.4949367805705024
2,74.471,0.0011960999999999999,IC2K7.4471e+01mag1.1961e-03.bin,50000000.0,50000000.0,3.297564034191862e-07,2.1641013596650645e-07,,0.0008550699902920473,0.0002287462963923863,0.012108556698183687,0.00048335151366506066,0.044853220317194915,0.00019858151272569548,0.05377488279838644,0.00010110089572323216,0.043656506855871656,7.920013711892414e-05,0.03329790579722822,7.138513924389566e-05,0.009891955547177011,5.149603768453793e-05,1.6003633338663534,0.0003160725490476717,163.84327301443338,31.988171462455682,1.667167074682488,0.0003281246552122432,177.65485556930037,4.030756424317303,1.50056271998764,0.0002900195277101008,178.2637076533643,2.15081326833689,1.500870744571547,0.000317342303288401,-169.05837348103208,1.9127124066617114,1.334064763958352,0.00033757095135716333,177.68809384409067,2.752415919130698,1.5017825875441735,0.000211361161565966,-173.63333704372434,4.390249535651719,-169.44268971503726,10.011609961713873,-58.94477858086496,1.2056184134091836,153.51118705001207,2.033197834770874,76.36810068789276,1.4030409366372538,-176.72249730743957,1.1862424343694045,0.0008143574578672176,0.00024098486418304294,0.01214152726749402,0.0004692884382555096,0.044868475859723006,0.00019769083040725274,0.053757885556274726,0.00010205414021558992,0.04365510772424655,7.980372265224267e-05,0.03330714824078462,7.015386680463133e-05,0.009895836161181311,5.853788940666658e-05,1.6003669899063016,0.00032445931538374476,162.8337737150541,31.89150697409417,1.6671770842656168,0.00032866591397898317,177.57196896478726,4.213776028774049,1.5005423015669972,0.00026715063777561993,178.24834608828755,2.041280133168698,1.5008598060694684,0.00030712559796332577,-169.06491474657633,2.0150821893878685,1.334120223768321,0.0003257632763643958,177.6861878337532,3.1253735423548505,1.5017280811300129,0.00023366120771943716,-173.62926601009593,3.7155197075928754,-169.4507902775226,10.080475574641127,-58.9518694843379,1.1845775766738598,153.51768816328342,2.093642115827521,76.37266630944629,1.3222387878698214,-176.72636066152876,1.2747437621161737,10.080475574641127,10.011609961713873,2.093642115827521,2.033197834770874,0.00048335151366506066,0.0004692884382555096,31.89150697409417,31.988171462455682,3.7155197075928754,4.390249535651719,0.2959202520403957,0.03865151623156298,0.0044060072605388734,0.001898403167452667,0.0018280500681921068,0.0021062705908495606,0.005915406081225848,0.053757885556274726,0.2959202520403957
4,859.13,0.043822,IC4K8.5913e+02mag4.3822e-02.bin,50000000.0,50000000.0,3.5692616434282094e-08,0.0005113790751230996,,0.0010091459961227684,0.00032933269974943304,0.0006906852751819636,0.00033018172614659975,0.012227559296477192,0.0007997044488905982,0.018197796145373653,0.0004767674739430544,0.02330527997699966,0.0003872041607823081,0.013475201134593964,0.0003289468992842939,0.008064649134842242,0.0003740345471219912,1.6011884455428818,0.0006275122061855659,0.9256041593036616,357.1936336975891,1.6685727694797388,0.00048379778235269717,171.94073608202504,35.64459704968138,1.501913985183259,0.00038371644932342546,178.67710915210225,8.91035097391861,1.5030021042971888,0.0006363778365219663,-164.74821215766656,10.695008189607364,1.3361511372841042,0.000683650300442458,183.4065536996148,9.342357030531048,1.5062544012493846,0.0004051219584350651,180.78134487881934,17.726364177345374,-155.30833284091034,20.46220158201561,-54.18983159019236,12.001466997595458,140.12832268769503,11.38288786363637,79.41408553125521,4.803355943778314,179.72927503012784,3.226095701941034,0.008586083098101596,0.004185852393573259,0.005702345505787203,0.002925751616155606,0.016865178397188877,0.008882515182193544,0.015907273500309904,0.00737669777372046,0.018532736120958387,0.006402879588394337,0.010946889981024428,0.004302354040447043,0.00943175504228604,0.00445710136814878,1.6015590685339531,0.0010599316729864227,2.8248234935285272,357.7926488584368,1.669086176441628,0.0022957508487380105,178.3065245735497,356.36853472278506,1.502321033761558,0.0024091307139798863,175.36622765358368,356.624969155888,1.5037048732765042,0.0021867068655810964,181.13265598239903,332.35868826938986,1.3370172244252432,0.001860279247079384,179.2281630604106,263.36105290810934,1.5078042814580803,0.002181296134208065,182.25121627534392,340.74155644432585,169.973458699413,357.11386051989643,179.8861731170971,358.6366903337638,0.5807088173391162,357.6956107529377,4.291293261294267,327.0544542380122,173.28107224026306,354.73973720891604,358.6366903337638,20.46220158201561,357.6956107529377,11.38288786363637,0.0007997044488905982,0.008882515182193544,357.7926488584368,357.1936336975891,356.624969155888,17.726364177345374,0.48751594245561886,0.5130786293440683,0.5266778075513331,0.4637311210860081,0.3454902474520974,0.3930206705196485,0.47256330854289047,0.018532736120958387,0.5266778075513331
6,610.55,0.0099069,IC6K6.1055e+02mag9.9069e-03.bin,50000000.0,2869029.4893435487,2.234090262888296e-06,0.8162634660937059,2869.0,0.006052012974884055,0.003034906807566944,0.005165748411823152,0.002579336381507387,0.0198937257502553,0.009829002210595466,0.005791695209817573,0.003163641470825953,0.00891450953656647,0.00440002276933959,0.004390752133209577,0.0021563816129989005,0.01392246690048075,0.006820334549750313,1.6190851702813824,0.0008119455245072609,3.5405123366628684,357.15333372623854,1.6773208640034656,0.0058145474838387215,7.509293993388331,358.0318619076184,1.511414373319515,0.005428014678519247,-7.036866777629335,358.7210794672765,1.5181274212212208,0.002987927548867202,186.7147644461677,357.69187067014013,1.350212052792299,0.0029821055851578806,177.58895408941612,358.60869265480613,1.5354914224945195,0.008047016748190564,182.4645604885438,358.7883223312433,176.67068215086326,358.8130876169906,181.2225266616699,358.798228118242,177.18403438895191,356.663423399286,156.6653114666966,355.6873345739689,0.7744867288023382,358.1680278396742,0.011297143682383312,0.006029156618441014,0.01018787648361814,0.005002719973649899,0.0285569223485666,0.011697261906013232,0.015222440808194179,0.007102566254200163,0.014599892698863363,0.0073078563844432036,0.012800144455411172,0.005950161577591569,0.03778727802705249,0.014823785085506705,1.6088325451475676,0.0006117119778744302,-2.5474296135734265,358.3359539321642,1.6610550094893561,0.0019884684034698853,-1.5405778834390478,359.62294037951034,1.5313604421074334,0.0018399687608143035,182.08006533169976,357.29823541314533,1.509989004496521,0.002197229207119831,174.67806866954396,355.8573116894432,1.3617048955272406,0.0020512301354409157,-1.795936592396004,359.2210002410818,1.5393340572060448,0.0049561019657484995,-6.9093316564537615,357.2610799650214,180.27452065517963,358.6407320036006,-2.5716994319392223,358.9128758967381,1.1397605219773783,356.95183773269713,185.13370316384334,358.3591384866843,182.3486769538535,358.503195915137,358.9128758967381,358.8130876169906,358.503195915137,358.1680278396742,0.009829002210595466,0.014823785085506705,359.62294037951034,358.7883223312433,359.2210002410818,358.7883223312433,0.5336885842961206,0.4910463904518426,0.4096121340821018,0.46658524370000376,0.5005417872017743,0.4648511271352238,0.392295657678601,0.03778727802705249,0.5336885842961206
7,14.210999999999999,0.21865,IC7K1.4211e+01mag2.1865e-01.bin,50000000.0,50000000.0,3.204927772586535e-08,0.0012264010538796926,,0.029537204627411797,0.015570420033686784,0.05680346589710261,0.00875010812261502,0.10211437361214232,0.006528824105366436,0.09470144078160729,0.006816172533578275,0.08333031620357849,0.0065088449668774355,0.0407149524834567,0.003940734688674612,0.04320732128434143,0.0058566068068673345,1.6003548772770813,0.0010569526573549761,179.53757949776988,308.5372860947222,1.6670476945825772,0.0009234536285563235,180.70392228088144,44.736455749813985,1.5003745262170787,0.0009789539901803475,175.2140700542379,64.32297411444938,1.5006687229899731,0.0010854302052385712,186.16679846953687,69.30654490647731,1.3338787733237114,0.0008372835762413966,174.3828142479933,47.46465006316967,1.501379037637166,0.001135676223122225,182.69137382117705,68.60612400331053,187.6524886779555,350.66342230953376,63.54202103684006,42.403448483330166,125.42481561185184,82.68627564219801,82.84610419454359,33.39452298820083,182.10327537556677,27.190279173135565,0.040670627845426015,0.02170673386792096,0.029785010946891517,0.014992750752679194,0.043679052048070745,0.021907831628989086,0.08185691582620461,0.0265320395717161,0.06304291889088932,0.01785623034291954,0.028642640884790387,0.011634110681933684,0.04293308655707226,0.018772035723316424,1.6004437823897888,0.0023927876842264185,5.167950821218949,359.2441575417831,1.667491125813575,0.0026573216434222203,178.28857515510606,355.59587961054746,1.5006477021649554,0.0034686980824514663,178.78810127314568,282.965673214214,1.5008650880626344,0.00404257528719598,182.3921978344875,344.6611694248852,1.3342645654088703,0.0029902838514577353,179.62986246864736,351.1926071807476,1.5023933843860826,0.004187905176365451,178.69706918561295,351.53774632024533,185.00612979980576,357.0936915980843,181.96202364785825,356.5780292430739,181.51375180873822,348.5972494570951,-0.8874326815619357,316.8852517898541,2.2581312985654063,359.47005596583756,359.47005596583756,350.66342230953376,359.47005596583756,82.68627564219801,0.015570420033686784,0.0265320395717161,359.2441575417831,308.5372860947222,351.53774632024533,69.30654490647731,0.5337201567288367,0.5033656284166617,0.5015638069452272,0.3241270368413084,0.283239270279093,0.406181494532215,0.43723937011521835,0.08185691582620461,0.5337201567288367
8,558.29,0.8046800000000001,IC8K5.5829e+02mag8.0468e-01.bin,50000000.0,37732.21865210108,2.968038040705421e-07,1.4412544700645935,37.0,0.01717390734521258,0.009671766157775033,0.01319365780710381,0.009314252934858873,0.0531559983023528,0.03259159147885764,0.016014843673909242,0.008751660810682717,0.022379763222508734,0.011698907656544275,0.01188612277144467,0.007649860015436829,0.036245654744161394,0.015536915819646788,1.5937976620118848,0.0019476913199207697,-10.734839596659443,324.28413348687656,1.6978874258602854,0.059197145155599734,-1.7909391078144377,333.80676066526905,1.4530304374420189,0.05015465374301619,3.983384092831385,331.3394857071051,1.5173845253132294,0.008194819695962707,191.3277978871508,313.64921704809683,1.3457372100443383,0.006750324070927798,9.335535871778108,333.45635176951606,1.5193760090553403,0.013859825987595498,172.89096805763586,347.3943295142247,186.8959336561712,329.78786035149744,1.3346258534882547,338.26091397707944,15.221754924687877,349.3580952433403,-17.191403726380162,341.7615288079446,168.33088718218283,346.4454987025123,0.017475698111088202,0.009623424552414904,0.0130857981025774,0.00941583584068384,0.051526051780675194,0.03146370429378891,0.016233088975027957,0.008766506194580364,0.021745626597519874,0.011192969554015336,0.011167218598524627,0.006361030387130625,0.03525892284714438,0.014523141841279695,1.5939966032659036,0.001546634697573081,-11.55099057806605,324.28413348687656,1.6943071331108726,0.05578449609680465,-4.00618353618362,333.80676066526905,1.455548744192293,0.048399219739609936,3.6983357193399353,331.3394857071051,1.5176018961392217,0.008196009324631092,189.89546479835204,313.64921704809683,1.345707767616675,0.006838528473116476,6.059535884746814,333.45635176951606,1.519147017401689,0.013974759904102844,174.13400815539444,347.3943295142247,183.0121005765128,329.78786035149744,5.02130673976274,338.26091397707944,14.400461034722042,349.3580952433403,-13.749231887955624,341.7615288079446,171.83719043665002,346.4454987025123,349.3580952433403,349.3580952433403,349.3580952433403,349.3580952433403,0.03259159147885764,0.03146370429378891,347.3943295142247,347.3943295142247,347.3943295142247,347.3943295142247,0.5506746849963556,0.7195461650007637,0.610636817812409,0.5400393115608649,0.514722788226848,0.5696163580044024,0.4118997595088451,0.051526051780675194,0.7195461650007637
10,348.85,0.0011541,IC10K3.4885e+02mag1.1541e-03.bin,50000000.0,50000000.0,2.518669142258469e-07,0.0004269431631911284,,0.0008583684081471308,0.0004566037422981827,0.0017989915339501515,0.0007850382423434944,0.026370946955640736,0.0011063459839572934,0.020396494071874497,0.000447603224748021,0.027962599984904173,0.0007204833785571318,0.01409792351488053,0.0004670413828965033,0.00729399493974493,0.00039208747893265206,1.6010700304662768,0.00035979546925757593,143.0833836163595,358.1699628154055,1.668399837821393,0.0005546677671659435,177.7297785709024,52.025126574370375,1.501996171298748,0.000603188962332456,179.627534951982,21.13668995955831,1.5030648771822914,0.0006591282960871311,-171.10910674333607,12.225736213313809,1.336005207534422,0.000731335941734337,-154.7979580446734,18.643787283774685,1.5061204057864093,0.0004989742913396218,183.98522569505457,22.519575281459623,216.32486947731914,87.5942165002694,-59.064154883030234,24.91505408705308,149.63508535238412,25.76759610109741,68.32453935240122,7.4640945956830365,41.388294671765806,7.787688355285923,0.006939844014523024,0.0034714705460667317,0.0060827229867013895,0.0029382997337130392,0.021634083094040985,0.006194071029729389,0.016692541361867826,0.0034439058037383174,0.025630813080885936,0.0039743708390538824,0.012997660913633812,0.003348567811483201,0.006414606293678407,0.0029808108653305966,1.601265196988001,0.0008247244408187578,-6.400891794229264,357.15950128344457,1.6687266300742007,0.0012031301314420913,180.34080567184003,355.3465383268216,1.5024462434828285,0.0011537483903388565,178.8918797749856,104.53296533417367,1.5037674311656546,0.0013735941327017677,189.3280912288123,88.74290763614121,1.3365571696786298,0.0014495159291709704,184.72742178157074,123.86208206913636,1.5074362788026074,0.0015370162480250486,180.22055176159046,325.074954525406,176.2788492886395,357.7843308760355,183.80328782642997,354.6385253094249,147.51600604909297,131.6603649654583,78.47417379075932,57.340984487633094,180.76990885201968,54.2760299038612,357.7843308760355,87.5942165002694,131.6603649654583,25.76759610109741,0.0011063459839572934,0.006194071029729389,357.15950128344457,358.1699628154055,325.074954525406,22.519575281459623,0.5002231374079849,0.4830566409381163,0.28631077188732434,0.20631404943560724,0.15506222243170864,0.2576284943678399,0.46469116401862187,0.025630813080885936,0.5002231374079849
13,359.26,0.0051597,IC13K3.5926e+02mag5.1597e-03.bin,50000000.0,50000000.0,3.279303853780052e-07,3.699621354735301e-07,,0.0011507442888536513,0.00021477636637304395,0.0018465991249837076,0.0005049859188861942,0.03735650361831314,0.0005888852185981954,0.019020252520471324,0.00010845432518659571,0.027329936844435677,0.0002105179975679076,0.013228313565131135,0.0001143778116763208,0.0073498615035947484,8.962763236316295e-05,1.6010208649339228,0.0007293809244922883,65.05461823211691,137.69966519448144,1.6681943340522603,0.0006878591152865375,181.1190305487031,6.87772097351305,1.501480848002866,0.0005347987275167279,181.38823194064182,2.955045556103755,1.502383287690631,0.0004903154858052168,-171.0548440153233,3.37828127563688,1.3355069500782584,0.0005392586969846983,-156.15989272686502,6.783615937988429,1.504822470210452,0.00035483320848209664,-175.8714155862522,5.84521378374356,149.6185310680361,4.088466809649674,59.02801724091395,1.5378705678019102,148.56491138432213,3.174578566562417,70.56493951374168,1.4824365241456121,40.23804892411079,1.2021274113854261,0.0011522867034315643,0.0002119250829503629,0.0018475259943916927,0.0005061979381250931,0.0373582934845872,0.0005874999162932891,0.019018227172851763,0.00010400344154358343,0.02732568930926779,0.00020753869984637487,0.013231339411634988,0.00012523853909428468,0.0073509221175126135,8.943264523531122e-05,1.601018213852652,0.00076525941052032,64.98731532884051,136.41336054004714,1.6681905140325446,0.0007020307287351942,181.12323274765836,5.819037793564831,1.5014851983449047,0.0005344483705900592,181.39058593579398,2.9379124650629933,1.502384870494854,0.0004915340755174941,-171.03767171188798,3.4683783444596656,1.3355026165058743,0.000543793858242228,-156.1172012985099,7.49114023009767,1.5048246180780849,0.0003568500653424881,-175.88190213351635,6.674329157107167,149.61363450005433,4.607977672082143,59.026018144652,1.7309853629986378,148.57271066522293,3.4229830180845795,70.56787038256716,1.3052683798730271,40.23324986975074,1.3397942384418258,4.607977672082143,4.088466809649674,3.4229830180845795,3.174578566562417,0.0005888852185981954,0.0005874999162932891,136.41336054004714,137.69966519448144,7.49114023009767,6.783615937988429,0.1839169733706377,0.2739869098793175,0.015726090821993038,0.00546861916193991,0.007595003276861015,0.009465295628661455,0.012166180488057355,0.0373582934845872,0.2739869098793175
15,498.47,0.0034409999999999996,IC15K4.9847e+02mag3.4410e-03.bin,50000000.0,50000000.0,5.208768393868958e-08,6.534782393435547e-08,,0.0006230505226928513,0.00024347220736531074,0.0012855222005609475,0.000147331042260939,0.004747666888689005,0.002225454028546778,0.004473001493661951,0.00027260084672420444,0.008021216598076546,0.0004192840156358858,0.0011965777215937746,0.000541579382615024,0.021678303431717488,0.00030734702960761906,1.61795264663748,0.00033253456507048536,181.60213428518009,357.82627558457733,1.673311824840293,0.00043190069907162544,180.56524292613025,347.8995399224432,1.5146540477059645,0.0005698608821387424,179.03911872929265,14.469708169559794,1.522220749046645,0.0015269650587833512,161.9610914052798,39.310017325133714,1.353721836514024,0.0014380353566349898,162.923720341512,169.6350333969887,1.5058223433589017,0.0005851524006686435,179.96609103119542,5.116315906603262,1.6950712264769605,357.48932381256475,-1.338257081629907,356.7297504462596,-117.23515873602909,6.063033782047114,-76.75580978136706,2.968789163452243,178.43342564646613,358.9019537403863,0.0006234467940185,0.00024562442015387556,0.0012866735883041948,0.00014102650447432862,0.004728708209472305,0.00224657711297111,0.00447343838292436,0.000274252805165532,0.008021088904745873,0.00041550434617506835,0.0011986544231685427,0.0005410131202116902,0.02167567837760826,0.00030497012161286946,1.6179558123549234,0.00032330241469862204,183.59152817773327,357.4992528489072,1.6733119766331819,0.00045260910033247657,178.455038382796,334.43292793243864,1.5146543851920589,0.0005838761137147196,179.0669690465868,15.155165837122922,1.522208954084433,0.0015114377289886431,162.00825313096988,39.963609716165706,1.3537331603916474,0.001423677807540045,162.30890550407844,172.67707040127016,1.50582859381979,0.0005719983738148084,179.9740992526939,4.997614895266395,181.3296304922284,357.93928749189604,3.473501923635343,358.5124683542289,-117.24619714285205,6.0390195776798805,-76.75204443097826,3.0084900564858117,0.10087101373922172,358.70176135033904,358.70176135033904,358.9019537403863,358.70176135033904,358.9019537403863,0.002225454028546778,0.00224657711297111,357.4992528489072,357.82627558457733,172.67707040127016,169.6350333969887,0.39397815901927147,0.10960550193635217,0.4750931995488498,0.06130693701122322,0.05180148868930066,0.45135037234632425,0.014069692136044717,0.02167567837760826,0.4750931995488498
16,27.963,0.037110000000000004,IC16K2.7963e+01mag3.7110e-02.bin,50000000.0,4349276.840676596,6.298385130598566e-07,1.2362425597798752,4349.0,0.023402148556126524,0.015664479924371238,0.04431927360493099,0.03567491095068695,0.08426666889062659,0.03152630571730231,0.06285827560413457,0.027158475386547552,0.06519767991861522,0.02240515704649531,0.030963840094898918,0.011772827885791478,0.03538965818628152,0.012702605558987026,1.6004836970903638,0.002183334696198702,179.25165561986717,357.01419616864223,1.667205609075366,0.002592493102257838,177.48315778041595,306.4226288919757,1.500362533402692,0.0028802814234236062,182.4783888198798,357.67908163588277,1.500668955644278,0.0033710068122350693,179.84004061210155,357.94186354659075,1.3339391408549377,0.002447892938276164,180.3788577050327,326.083428780068,1.5015469121720244,0.002443390292781261,178.3034979454736,264.80165732327043,6.009142730597534,358.58622989083096,181.4080065924721,356.92104372651056,179.68152218091342,355.9841843922412,1.1277399143849824,308.48269392696363,178.10604433218538,343.22460516603496,0.024812560565397674,0.011360605759852416,0.02821559391483666,0.014682389993995525,0.061699062699054764,0.032018008863268395,0.06492117798751389,0.03243140094954065,0.06034794962463565,0.028820983565841115,0.02918240348228044,0.015108553990136723,0.03597498358778538,0.017715776727241648,1.6008060551046825,0.0022407383810002716,185.44757715965412,358.83912081330556,1.6674113171411278,0.004442291575327767,186.25774120915304,357.70297570154935,1.500461951012355,0.005734194383377954,-4.351478302046676,358.33619479123024,1.5010150367063917,0.006976827876299964,-8.025979264309443,359.2625616356785,1.3343788352258312,0.005243528022863003,185.48973204668644,352.85547864588546,1.5022555581195096,0.005139306851810281,177.68737920073272,357.0534125736483,185.32193184362322,358.75821696017994,-0.2526585469817201,358.09515672535866,-2.4357462627887965,358.36656126611956,181.84181591370807,358.176886150524,176.2336228907824,357.5375063749843,358.75821696017994,358.58622989083096,358.36656126611956,355.9841843922412,0.03567491095068695,0.03243140094954065,359.2625616356785,357.94186354659075,359.2625616356785,357.94186354659075,0.457857049050203,0.5203643785883613,0.5189383349215597,0.4995504079697705,0.47758016212825266,0.5177282261658345,0.49244711075439385,0.06492117798751389,0.5203643785883613
